CB80 RES  0,B
CB81 RES  0,C
CB82 RES  0,D
CB83 RES  0,E
CB84 RES  0,H
CB85 RES  0,L
CB8F RES  1,A
CB88 RES  1,B
CB89 RES  1,C
CB8A RES  1,D
CB8B RES  1,E
CB8C RES  1,H
CB8D RES  1,L
CB97 RES  2,A
CB90 RES  2,B
CB91 RES  2,C
CB92 RES  2,D
CB93 RES  2,E
CB94 RES  2,H
CB95 RES  2,L
CB9F RES  3,A
CB98 RES  3,B
CB99 RES  3,C
CB9A RES  3,D
CB9B RES  3,E
CB9C RES  3,H
CB9D RES  3,L
CBA7 RES  4,A
CBA0 RES  4,B
CBA1 RES  4,C
CBA2 RES  4,D
CBA3 RES  4,E
CBA4 RES  4,H
CBA5 RES  4,L
CBAF RES  5,A
CBA8 RES  5,B
CBA9 RES  5,C
CBAA RES  5,D
CBAB RES  5,E
CBAC RES  5,H
CBAD RES  5,L
CBB7 RES  6,A
CBB0 RES  6,B
CBB1 RES  6,C
CBB2 RES  6,D
CBB3 RES  6,E
CBB4 RES  6,H
CBB5 RES  6,L
CBBF RES  7,A
CBB8 RES  7,B
CBB9 RES  7,C
CBBA RES  7,D
CBBB RES  7,E
CBBC RES  7,H
CBBD RES  7,L
CB86 RES  0,(HL)
CB8E RES  1,(HL)
CB96 RES  2,(HL)
CB9E RES  3,(HL)
CBA6 RES  4,(HL)
CBAE RES  5,(HL)
CBB6 RES  6,(HL)
CBBE RES  7,(HL)
DDCB:186 RES  0,(IX + %)
DDCB:18E RES  1,(IX + %)
DDCB:196 RES  2,(IX + %)
DDCB:19E RES  3,(IX + %)
DDCB:1A6 RES  4,(IX + %)
DDCB:1AE RES  5,(IX + %)
DDCB:1B6 RES  6,(IX + %)
DDCB:1BE RES  7,(IX + %)
FDCB:186 RES  0,(IY + %)
FDCB:18E RES  1,(IY + %)
FDCB:196 RES  2,(IY + %)
FDCB:19E RES  3,(IY + %)
FDCB:1A6 RES  4,(IY + %)
FDCB:1AE RES  5,(IY + %)
FDCB:1B6 RES  6,(IY + %)
FDCB:1BE RES  7,(IY + %)
C9 RET
D8 RET  C
F8 RET  M
D0 RET  NC
C0 RET  NZ
F0 RET  P
E8 RET  PE
E0 RET  PO
C8 RET  Z
ED4D RETI
ED45 RETN
CB17 RL   A
CB10 RL   B
CB11 RL   C
CB12 RL   D
CB13 RL   E
CB14 RL   H
CB15 RL   L
CB16 RL   (HL)
DDCB:116 RL   (IX + %)
FDCB:116 RL   (IY + %)
17 RLA
CB07 RLC  A
CB00 RLC  B
CB01 RLC  C
CB02 RLC  D
CB03 RLC  E
CB04 RLC  H
CB05 RLC  L
CB06 RLC  (HL)
DDCB:106 RLC  (IX + %)
FDCB:106 RLC  (IY + %)
07 RLCA
ED6F RLD
CB1F RR   A
CB18 RR   B
CB19 RR   C
CB1A RR   D
CB1B RR   E
CB1C RR   H
CB1D RR   L
CB1E RR   (HL)
DDCB:11E RR   (IX + %)
FDCB:11E RR   (IY + %)
1F RRA
CB0F RRC  A
CB08 RRC  B
CB09 RRC  C
CB0A RRC  D
CB0B RRC  E
CB0C RRC  H
CB0D RRC  L
CB0E RRC  (HL)
DDCB:10E RRC  (IX + %)
FDCB:10E RRC  (IY + %)
0F RRCA
ED67 RRD
C7 RST  00h
CF RST  08h
D7 RST  10h
DF RST  18h
E7 RST  20h
EF RST  28h
F7 RST  30h
FF RST  38h
9F SBC  A,A
98 SBC  A,B
99 SBC  A,C
9A SBC  A,D
9B SBC  A,E
9C SBC  A,H
9D SBC  A,L
DE:1 SBC  A,%
9E SBC  A,(HL)
DD9E:1 SBC  A,(IX + %)
FD9E:1 SBC  A,(IY + %)
ED42 SBC  HL,BC
ED52 SBC  HL,DE
ED62 SBC  HL,HL
ED72 SBC  HL,SP
37 SCF
CBC7 SET  0,A
CBC0 SET  0,B
CBC1 SET  0,C
CBC2 SET  0,D
CBC3 SET  0,E
CBC4 SET  0,H
CBC5 SET  0,L
CBCF SET  1,A
CBC8 SET  1,B
CBC9 SET  1,C
CBCA SET  1,D
CBCB SET  1,E
CBCC SET  1,H
CBCD SET  1,L
CBD7 SET  2,A
CBD0 SET  2,B
CBD1 SET  2,C
CBD2 SET  2,D
CBD3 SET  2,E
CBD4 SET  2,H
CBD5 SET  2,L
CBDF SET  3,A
CBD8 SET  3,B
CBD9 SET  3,C
CBDA SET  3,D
CBDB SET  3,E
CBDC SET  3,H
CBDD SET  3,L
CBE7 SET  4,A
CBE0 SET  4,B
CBE1 SET  4,C
CBE2 SET  4,D
CBE3 SET  4,E
CBE4 SET  4,H
CBE5 SET  4,L
CBEF SET  5,A
CBE8 SET  5,B
CBE9 SET  5,C
CBEA SET  5,D
CBEB SET  5,E
CBEC SET  5,H
CBED SET  5,L
CBF7 SET  6,A
CBF0 SET  6,B
CBF1 SET  6,C
CBF2 SET  6,D
CBF3 SET  6,E
CBF4 SET  6,H
CBF5 SET  6,L
CBFF SET  7,A
CBF8 SET  7,B
CBF9 SET  7,C
CBFA SET  7,D
CBFB SET  7,E
CBFC SET  7,H
CBFD SET  7,L
CBC6 SET  0,(HL)
CBCE SET  1,(HL)
CBD6 SET  2,(HL)
CBDE SET  3,(HL)
CBE6 SET  4,(HL)
CBEE SET  5,(HL)
CBF6 SET  6,(HL)
CBFE SET  7,(HL)
DDCB:1C6 SET  0,(IX + %)
DDCB:1CE SET  1,(IX + %)
DDCB:1D6 SET  2,(IX + %)
DDCB:1DE SET  3,(IX + %)
DDCB:1E6 SET  4,(IX + %)
DDCB:1EE SET  5,(IX + %)
DDCB:1F6 SET  6,(IX + %)
DDCB:1FE SET  7,(IX + %)
FDCB:1C6 SET  0,(IY + %)
FDCB:1CE SET  1,(IY + %)
FDCB:1D6 SET  2,(IY + %)
FDCB:1DE SET  3,(IY + %)
FDCB:1E6 SET  4,(IY + %)
FDCB:1EE SET  5,(IY + %)
FDCB:1F6 SET  6,(IY + %)
FDCB:1FE SET  7,(IY + %)
CB27 SLA  A
CB20 SLA  B
CB21 SLA  C
CB22 SLA  D
CB23 SLA  E
CB24 SLA  H
CB25 SLA  L
CB26 SLA  (HL)
DDCB:126 SLA  (IX + %)
FDCB:126 SLA  (IY + %)
CB2F SRA  A
CB28 SRA  B
CB29 SRA  C
CB2A SRA  D
CB2B SRA  E
CB2C SRA  H
CB2D SRA  L
CB2E SRA  (HL)
DDCB:12E SRA  (IX + %)
FDCB:12E SRA  (IY + %)
CB3F SRL  A
CB38 SRL  B
CB39 SRL  C
CB3A SRL  D
CB3B SRL  E
CB3C SRL  H
CB3D SRL  L
CB3E SRL  (HL)
DDCB:13E SRL  (IX + %)
FDCB:13E SRL  (IY + %)
97 SUB  A
90 SUB  B
91 SUB  C
92 SUB  D
93 SUB  E
94 SUB  H
95 SUB  L
D6:1 SUB  %
96 SUB  (HL)
DD96 SUB  (IX + %)
FD96 SUB  (IY + %)
AF XOR  A
A8 XOR  B
A9 XOR  C
AA XOR  D
AB XOR  E
AC XOR  H
AD XOR  L
EE:1 XOR  %
AE XOR  (HL)
DDAE:1 XOR  (IX + %)
FDAE:1 XOR  (IY + %)
