 3RET Z C8@1
 3RET NC D0@1
 3RET C D8@1
 3RET PO E0@1
 3RET PE E8@1
 3RET P F0@1
 3RET M F8@1
 Z
 0RETI ED4D@2
 Z
 0RETN ED45@2
 Z
 0RLA 17@1
 Z
 0RLCA 07@1
 Z
 1RL A CB17@2
 1RL B CB10@2
 1RL C CB11@2
 1RL D CB12@2
 1RL E CB13@2
 1RL H CB14@2
 1RL L CB15@2
 1RL (HL) CB16@2
 1RL ^(IX+ DDCB#116@4
 1RL ^(IY+ FDCB#116@4
 Z
 1RLC A CB07@2
 1RLC B CB00@2
 1RLC C CB01@2
 1RLC D CB02@2
 1RLC E CB03@2
 1RLC H CB04@2
 1RLC L CB05@2
 1RLC (HL) CB06@2
 1RLC ^(IX+ DDCB#106@4
 1RLC ^(IY+ FDCB#106@4
 Z
 0RLD ED6F@2
 Z
 0RRA 1F@1
 Z
 0RRCA 0F@1
 Z
 1RR A CB1F@1
 1RR B CB18@1
 1RR C CB19@1
 1RR D CB1A@1
 1RR E CB1B@1
 1RR H CB1C@1
 1RR L CB1D@1
 1RR (HL) CB1E@1
 1RR ^(IX+ DDCB#11E@4
 1RR ^(IY+ FDCB#11E@4
 Z
 1RRC A CB0F@1
 1RRC B CB08@1
 1RRC C CB09@1
 1RRC D CB0A@1
 1RRC E CB0B@1
 1RRC H CB0C@1
 1RRC L CB0D@1
 1RRC (HL) CB0E@1
 1RRC ^(IX+ DDCB#10E@4
 1RRC ^(IY+ FDCB#10E@4
 Z
 0RRD ED67@2
 Z
 1RST 00H C7@1
 1RST 08H CF@1
 1RST 10H D7@1
 1RST 18H DF@1
 1RST 20H E7@1
 1RST 28H EF@1
 1RST 30H F7@1
 1RST 38H FF@1
 Z
 2SBC A,A 9F@1
 2SBC A,B 98@1
 2SBC A,C 99@1
 2SBC A,D 9A@1
 2SBC A,E 9B@1
 2SBC A,H 9C@1
 2SBC A,L 9D@1
 2SBC A,(HL) 9E@1
 2SBC HL,BE ED42@2
 2SBC HL,DE ED52@2
 2SBC HL,HL ED62@2
 2SBC HL,SP ED72@2
 2SBC A,1 DE#1@2
 2SBC A,2(IX+ DD9E#1@3
 2SBC A,2(IY+ FD9E#1@3
 Z
 0SCF 37@1
 Z
 2SET 0,A CBC7@2
 2SET 0,B CBC0@2
 2SET 0,C CBC1@2
 2SET 0,D CBC2@2
 2SET 0,E CBC3@2
 2SET 0,H CBC4@2
 2SET 0,L CBC5@2
 2SET 1,A CBCF@2
 2SET 1,B CBC8@2
 2SET 1,C CBC9@2
 2SET 1,D CBCA@2
 2SET 1,E CBCB@2
 2SET 1,H CBCC@2
 2SET 1,L CBCD@2
 2SET 2,A CBD7@2
 2SET 2,B CBD0@2
 2SET 2,C CBD1@2
 2SET 2,D CBD2@2
 2SET 2,E CBD3@2
 2SET 2,H CBD4@2
 2SET 2,L CBD5@2
 2SET 3,A CBDF@2
 2SET 3,B CBD8@2
 2SET 3,C CBD9@2
 2SET 3,D CBDA@2
 2SET 3,E CBDB@2
 2SET 3,H CBDC@2
 2SET 3,L CBDD@2
 2SET 4,A CBE7@2
 2SET 4,B CBE0@2
 2SET 4,C CBE1@2
 2SET 4,D CBE2@2
 2SET 4,E CBE3@2
 2SET 4,H CBE4@2
 2SET 4,L CBE5@2
 2SET 5,A CBEF@2
 2SET 5,B CBE8@2
 2SET 5,C CBE9@2
 2SET 5,D CBEA@2
 2SET 5,E CBEB@2
 2SET 5,H CBEC@2
 2SET 5,L CBED@2
 2SET 6,A CBF7@2
 2SET 6,B CBF0@2
 2SET 6,C CBF1@2
 2SET 6,D CBF2@2
 2SET 6,E CBF3@2
 2SET 6,H CBF4@2
 2SET 6,L CBF5@2
 2SET 7,A CBFF@2
 2SET 7,B CBF8@2
 2SET 7,C CBF9@2
 2SET 7,D CBFA@2
 2SET 7,E CBFB@2
 2SET 7,H CBFC@2
 2SET 7,L CBFD@2
 2SET 0,(HL) CBC6@2
 2SET 1,(HL) CBCE@2
 2SET 2,(HL) CBD6@2
 2SET 3,(HL) CBDE@2
 2SET 4,(HL) CBE6@2
 2SET 5,(HL) CBEE@2
 2SET 6,(HL) CBF6@2
